len,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,27,28,29,31
a,1,2,3,2,3,3,4,4,5,5,5,6,5,5,5,5,5,6,5,5,4,4,4,3,4,3,4,1,1
b,1,2,2,3,3,3,3,3,4,4,4,4,4,3,4,4,3,3,2,2,2,2,1,2,1,0,1,0,0
c,1,2,2,2,3,4,3,4,4,4,5,5,6,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2
d,1,2,2,3,3,4,4,4,4,4,4,4,4,4,4,5,3,4,3,3,3,3,3,2,1,2,3,0,2
e,1,2,2,3,3,4,4,4,5,5,5,5,5,6,6,6,6,5,5,5,6,7,5,4,7,4,3,4,3
f,1,2,2,3,3,3,3,4,4,4,3,3,3,2,4,2,2,2,2,2,1,2,2,1,0,0,0,0,0
g,1,1,2,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,2,3,2,2,2,2,2,1,0,0,0
h,1,1,2,2,2,3,3,4,3,3,3,3,3,3,4,4,4,4,3,3,4,3,4,3,3,2,2,2,4
i,1,2,3,3,3,3,3,4,4,4,4,5,5,6,6,5,6,5,6,6,5,5,6,5,4,2,5,4,3
j,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,0,0,0,0,0,0,0
k,1,1,1,2,3,4,2,3,3,4,4,4,4,3,4,2,2,1,1,1,2,1,0,0,0,0,0,0,0
l,1,2,2,3,3,3,4,4,4,4,4,5,4,5,5,5,4,4,4,5,5,4,3,3,3,4,1,2,3
m,1,2,2,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,2,2,2,2,2,2,0
n,1,1,2,2,3,3,4,4,5,5,5,5,5,5,6,5,5,5,5,6,4,5,3,3,3,1,3,4,2
o,1,1,2,4,3,4,4,5,4,4,5,5,5,6,5,5,6,5,5,5,6,6,5,5,5,5,5,1,4
p,1,2,2,2,3,3,3,3,4,4,4,3,4,4,4,4,3,4,3,3,3,3,3,2,3,2,0,1,1
q,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0
r,1,1,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,6,4,6,3,4,3,3
s,1,2,2,3,3,4,4,5,5,5,5,6,6,7,7,6,6,8,6,5,5,4,4,4,4,2,4,0,0
t,1,1,2,2,3,3,4,4,4,4,4,4,4,5,4,5,5,5,4,5,5,4,5,4,3,3,3,4,2
u,1,1,2,2,3,4,4,4,4,4,4,5,4,5,4,5,4,4,5,3,9,2,1,2,1,0,0,0,0
v,1,2,2,2,2,3,2,2,2,3,3,3,3,3,3,3,3,4,2,3,2,2,2,0,0,0,0,0,0
w,1,1,2,2,2,3,4,3,3,3,3,2,3,2,2,2,2,1,3,0,1,1,0,0,0,0,0,0,0
x,1,2,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,2,3,1,1,0,2,1,0,0
y,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,4,4,3,2,2,3,3,2,1
z,1,1,1,3,2,3,4,3,4,4,2,2,2,2,2,2,3,2,2,2,2,1,1,1,0,0,0,0,0
