words,mash,vowel rt,consonant rt,ttr
resembles,0,0.3333333333333333,0.6666666666666667,0.6666666666666666
attacks,0,0.2857142857142857,0.7142857142857143,0.7142857142857143
under,0,0.4,0.6,1.0
having,0,0.3333333333333333,0.6666666666666667,1.0
point,0,0.4,0.6,1.0
applications,0,0.4166666666666667,0.5833333333333333,0.75
in,0,0.5,0.5,1.0
eye,0,0.6666666666666666,0.33333333333333337,0.6666666666666666
a,0,1.0,0.0,1.0
by,0,0.0,1.0,1.0
title,0,0.4,0.6,0.8
prevent,0,0.2857142857142857,0.7142857142857143,0.8571428571428571
sinking,0,0.2857142857142857,0.7142857142857143,0.7142857142857143
speak,0,0.4,0.6,1.0
order,0,0.4,0.6,0.8
First,0,0.2,0.8,1.0
sign,0,0.25,0.75,1.0
you,0,0.6666666666666666,0.33333333333333337,1.0
the,0,0.3333333333333333,0.6666666666666667,1.0
ass,0,0.3333333333333333,0.6666666666666667,0.6666666666666666
as,0,0.5,0.5,1.0
That,0,0.25,0.75,1.0
inner,0,0.4,0.6,0.8
enemy,0,0.4,0.6,0.8
Catacombs,0,0.3333333333333333,0.6666666666666667,0.8888888888888888
Quality,0,0.42857142857142855,0.5714285714285714,1.0
birthed,0,0.2857142857142857,0.7142857142857143,1.0
in,0,0.5,0.5,1.0
love,0,0.5,0.5,1.0
my,0,0.0,1.0,1.0
and,0,0.3333333333333333,0.6666666666666667,1.0
lonely,0,0.3333333333333333,0.6666666666666667,0.8333333333333334
the,0,0.3333333333333333,0.6666666666666667,1.0
doing,0,0.4,0.6,1.0
a,0,1.0,0.0,1.0
their,0,0.4,0.6,1.0
borsht,0,0.16666666666666666,0.8333333333333334,1.0
him,0,0.3333333333333333,0.6666666666666667,1.0
begin,0,0.4,0.6,1.0
same,0,0.5,0.5,1.0
subway,0,0.3333333333333333,0.6666666666666667,1.0
over,0,0.5,0.5,1.0
Lord,0,0.25,0.75,1.0
S,0,0.0,1.0,1.0
in,0,0.5,0.5,1.0
solvents,0,0.25,0.75,0.875
Gazing,0,0.3333333333333333,0.6666666666666667,1.0
page,0,0.5,0.5,1.0
a,0,1.0,0.0,1.0
is,0,0.5,0.5,1.0
of,0,0.5,0.5,1.0
he,0,0.5,0.5,1.0
my,0,0.0,1.0,1.0
and,0,0.3333333333333333,0.6666666666666667,1.0
the,0,0.3333333333333333,0.6666666666666667,1.0
floor,0,0.4,0.6,0.8
for,0,0.3333333333333333,0.6666666666666667,1.0
sick,0,0.25,0.75,1.0
they,0,0.25,0.75,1.0
presides,0,0.375,0.625,0.75
to,0,0.5,0.5,1.0
nanowire,0,0.5,0.5,0.875
as,0,0.5,0.5,1.0
know,0,0.25,0.75,1.0
Some,0,0.5,0.5,1.0
for,0,0.3333333333333333,0.6666666666666667,1.0
though,0,0.3333333333333333,0.6666666666666667,0.8333333333333334
spectral,0,0.25,0.75,1.0
The,0,0.3333333333333333,0.6666666666666667,1.0
their,0,0.4,0.6,1.0
due,0,0.6666666666666666,0.33333333333333337,1.0
lands,0,0.2,0.8,1.0
of,0,0.5,0.5,1.0
and,0,0.3333333333333333,0.6666666666666667,1.0
differences,0,0.36363636363636365,0.6363636363636364,0.7272727272727273
stately,0,0.2857142857142857,0.7142857142857143,0.8571428571428571
arrow,0,0.4,0.6,0.8
killing,0,0.2857142857142857,0.7142857142857143,0.7142857142857143
first,0,0.2,0.8,1.0
Moloch,0,0.3333333333333333,0.6666666666666667,0.8333333333333334
brother,0,0.2857142857142857,0.7142857142857143,0.8571428571428571
catalyst,0,0.25,0.75,0.75
a,0,1.0,0.0,1.0
marked,0,0.3333333333333333,0.6666666666666667,1.0
the,0,0.3333333333333333,0.6666666666666667,1.0
of,0,0.5,0.5,1.0
they,0,0.25,0.75,1.0
a,0,1.0,0.0,1.0
youngest,0,0.375,0.625,1.0
fullest,0,0.2857142857142857,0.7142857142857143,0.8571428571428571
lived,0,0.4,0.6,1.0
the,0,0.3333333333333333,0.6666666666666667,1.0
aqueous,0,0.7142857142857143,0.2857142857142857,0.8571428571428571
glass,0,0.2,0.8,0.8
Our,0,0.3333333333333333,0.6666666666666667,1.0
physical,0,0.25,0.75,1.0
the,0,0.3333333333333333,0.6666666666666667,1.0
the,0,0.3333333333333333,0.6666666666666667,1.0
grave,0,0.4,0.6,1.0
spoken,0,0.3333333333333333,0.6666666666666667,1.0
becoming,0,0.375,0.625,1.0
Will,0,0.25,0.75,0.75
Since,0,0.4,0.6,1.0
Backstab,0,0.25,0.75,0.875
served,0,0.3333333333333333,0.6666666666666667,0.8333333333333334
in,0,0.5,0.5,1.0
makes,0,0.4,0.6,1.0
tometo,0,0.5,0.5,0.6666666666666666
already,0,0.42857142857142855,0.5714285714285714,0.8571428571428571
hatred,0,0.3333333333333333,0.6666666666666667,1.0
As,0,0.0,1.0,1.0
to,0,0.5,0.5,1.0
erase,0,0.6,0.4,0.8
of,0,0.5,0.5,1.0
the,0,0.3333333333333333,0.6666666666666667,1.0
great,0,0.4,0.6,1.0
fat,0,0.3333333333333333,0.6666666666666667,1.0
hast,0,0.25,0.75,1.0
at,0,0.5,0.5,1.0
later,0,0.4,0.6,1.0
If,0,0.0,1.0,1.0
meet,0,0.5,0.5,0.75
understanding,0,0.3076923076923077,0.6923076923076923,0.7692307692307693
might,0,0.2,0.8,1.0
turning,0,0.2857142857142857,0.7142857142857143,0.8571428571428571
visit,0,0.4,0.6,0.8
will,0,0.25,0.75,0.75
damage,0,0.5,0.5,0.8333333333333334
highly,0,0.16666666666666666,0.8333333333333334,0.8333333333333334
of,0,0.5,0.5,1.0
foes,0,0.5,0.5,1.0
the,0,0.3333333333333333,0.6666666666666667,1.0
does,0,0.5,0.5,1.0
maybe,0,0.4,0.6,1.0
description,0,0.36363636363636365,0.6363636363636364,0.9090909090909091
your,0,0.5,0.5,1.0
or,0,0.5,0.5,1.0
can,0,0.3333333333333333,0.6666666666666667,1.0
the,0,0.3333333333333333,0.6666666666666667,1.0
a,0,1.0,0.0,1.0
your,0,0.5,0.5,1.0
for,0,0.3333333333333333,0.6666666666666667,1.0
off,0,0.3333333333333333,0.6666666666666667,0.6666666666666666
eat,0,0.6666666666666666,0.33333333333333337,1.0
other,0,0.4,0.6,1.0
give,0,0.5,0.5,1.0
tutorial,0,0.5,0.5,0.875
in,0,0.5,0.5,1.0
been,0,0.5,0.5,0.75
your,0,0.5,0.5,1.0
instinctively,0,0.3076923076923077,0.6923076923076923,0.6923076923076923
a,0,1.0,0.0,1.0
with,0,0.25,0.75,1.0
The,0,0.3333333333333333,0.6666666666666667,1.0
with,0,0.25,0.75,1.0
escape,0,0.5,0.5,0.8333333333333334
ships,0,0.2,0.8,0.8
the,0,0.3333333333333333,0.6666666666666667,1.0
are,0,0.6666666666666666,0.33333333333333337,1.0
present,0,0.2857142857142857,0.7142857142857143,0.8571428571428571
Scraped,0,0.2857142857142857,0.7142857142857143,1.0
in,0,0.5,0.5,1.0
the,0,0.3333333333333333,0.6666666666666667,1.0
magic,0,0.4,0.6,1.0
so,0,0.5,0.5,1.0
the,0,0.3333333333333333,0.6666666666666667,1.0
for,0,0.3333333333333333,0.6666666666666667,1.0
were,0,0.5,0.5,0.75
quantitatively,0,0.42857142857142855,0.5714285714285714,0.7142857142857143
amid,0,0.5,0.5,1.0
the,0,0.3333333333333333,0.6666666666666667,1.0
is,0,0.5,0.5,1.0
the,0,0.3333333333333333,0.6666666666666667,1.0
for,0,0.3333333333333333,0.6666666666666667,1.0
lofty,0,0.2,0.8,1.0
memory,0,0.3333333333333333,0.6666666666666667,0.8333333333333334
long,0,0.25,0.75,1.0
range,0,0.4,0.6,1.0
was,0,0.3333333333333333,0.6666666666666667,1.0
an,0,0.5,0.5,1.0
went,0,0.25,0.75,1.0
on,0,0.5,0.5,1.0
of,0,0.5,0.5,1.0
land,0,0.25,0.75,1.0
his,0,0.3333333333333333,0.6666666666666667,1.0
they,0,0.25,0.75,1.0
waited,0,0.5,0.5,1.0
as,0,0.5,0.5,1.0
attempting,0,0.3,0.7,0.8
effective,0,0.4444444444444444,0.5555555555555556,0.6666666666666666
souls,0,0.4,0.6,0.8
lost,0,0.25,0.75,1.0
the,0,0.3333333333333333,0.6666666666666667,1.0
experiments,0,0.36363636363636365,0.6363636363636364,0.8181818181818182
staggered,0,0.3333333333333333,0.6666666666666667,0.7777777777777778
run,0,0.3333333333333333,0.6666666666666667,1.0
usual,0,0.6,0.4,0.8
rate,0,0.5,0.5,1.0
may,0,0.3333333333333333,0.6666666666666667,1.0
children,0,0.25,0.75,1.0
probability,0,0.36363636363636365,0.6363636363636364,0.8181818181818182
of,0,0.5,0.5,1.0
in,0,0.5,0.5,1.0
cricket,0,0.2857142857142857,0.7142857142857143,0.8571428571428571
She,0,0.3333333333333333,0.6666666666666667,1.0
the,0,0.3333333333333333,0.6666666666666667,1.0
tree,0,0.5,0.5,0.75
much,0,0.25,0.75,1.0
on,0,0.5,0.5,1.0
power,0,0.4,0.6,1.0
lost,0,0.25,0.75,1.0
to,0,0.5,0.5,1.0
below,0,0.4,0.6,1.0
Rocky,0,0.2,0.8,1.0
win,0,0.3333333333333333,0.6666666666666667,1.0
something,0,0.3333333333333333,0.6666666666666667,1.0
at,0,0.5,0.5,1.0
and,0,0.3333333333333333,0.6666666666666667,1.0
to,0,0.5,0.5,1.0
that,0,0.25,0.75,0.75
measure,0,0.5714285714285714,0.4285714285714286,0.8571428571428571
the,0,0.3333333333333333,0.6666666666666667,1.0
of,0,0.5,0.5,1.0
whose,0,0.4,0.6,1.0
kept,0,0.25,0.75,1.0
in,0,0.5,0.5,1.0
chemistry,0,0.2222222222222222,0.7777777777777778,1.0
still,0,0.2,0.8,0.8
construction,0,0.3333333333333333,0.6666666666666667,0.6666666666666666
to,0,0.5,0.5,1.0
a,0,1.0,0.0,1.0
doing,0,0.4,0.6,1.0
black,0,0.2,0.8,1.0
one,0,0.6666666666666666,0.33333333333333337,1.0
serpent,0,0.2857142857142857,0.7142857142857143,0.8571428571428571
or,0,0.5,0.5,1.0
strive,0,0.3333333333333333,0.6666666666666667,1.0
class,0,0.2,0.8,0.8
the,0,0.3333333333333333,0.6666666666666667,1.0
your,0,0.5,0.5,1.0
become,0,0.5,0.5,0.8333333333333334
was,0,0.3333333333333333,0.6666666666666667,1.0
of,0,0.5,0.5,1.0
takes,0,0.4,0.6,1.0
unobtainable,0,0.5,0.5,0.75
the,0,0.3333333333333333,0.6666666666666667,1.0
hold,0,0.25,0.75,1.0
with,0,0.25,0.75,1.0
the,0,0.3333333333333333,0.6666666666666667,1.0
usually,0,0.42857142857142855,0.5714285714285714,0.7142857142857143
